N	Name	CoreFr	BoostFr	MemGb	MemFr	Bits	Price
342570	GeForce GTX1660 Super ASUS PCI-E 6144Mb (TUF-GTX1660S-O6G-GAMING)	1530	1845	6	14002	192	24310
336215	GeForce GTX1660 Super MSI PCI-E 6144Mb (GTX 1660 SUPER GAMING X)	1830	1830	6	14000	192	24690
325682	GeForce GTX1660 ASUS PCI-E 6144Mb (TUF3-GTX1660-O6G-GAMING)	1500	1890	6	8002	192	25200
311533	GeForce GTX1660 Ti Palit StormX PCI-E 6144Mb (0475)	1500	1770	6	12000	192	25220
342356	GeForce GTX1660 Super ASUS PCI-E 6144Mb (DUAL-GTX1660S-6G-EVO)	1515	1830	6	14002	192	25630
337491	GeForce GTX1660 Super ASUS PCI-E 6144Mb (DUAL-GTX1660S-O6G-EVO)	1530	1860	6	14002	192	25810
311536	GeForce GTX1660 Ti Palit StormX OC PCI-E 6144Mb (0468)	1500	1815	6	12000	192	25960
339098	GeForce GTX1660 Super MSI PCI-E 6144Mb (GTX 1660 SUPER GAMING)	1785	1785	6	14000	192	25980
277048	GeForce GTX1070 Ti Zotac PCI-E 8192Mb (ZT-P10710J-10B) OEM	1607	1683	8	8008	256	25990
312285	GeForce GTX1660 Ti Gigabyte PCI-E 6144Mb (GV-N166TGAMING OC-6GD)	1860	1860	6	12000	192	26050
337493	GeForce GTX1660 Super ASUS PCI-E 6144Mb (TUF 3-GTX1660S-A6G-GAMING)	1530	1830	6	14002	192	26250
337494	GeForce GTX1660 Super ASUS PCI-E 6144Mb (TUF 3-GTX1660S-O6G-GAMING)	1530	1860	6	14002	192	26340
329887	GeForce GTX1660 Ti Inno3D Gaming OC X2 PCI-E 6144Mb (N166T2-06D6X-1710VA15L)	1500	1800	6	12000	192	26340
316675	GeForce GTX1660 Ti MSI PCI-E 6144Mb (GTX 1660 TI AERO ITX 6G OC)	1830	1830	6	12000	192	26420
339376	GeForce GTX1660 Ti Inno3D Twin X2 OC RGB PCI-E 6144Mb (N166T2-06D6X-1710VA15LB)	1500	1800	6	12000	192	26520
325158	GeForce GTX1660 Ti MSI PCI-E 6144Mb (GTX 1660 Ti VENTUS XS 6G)	1770	1770	6	12000	192	26800
332136	GeForce GTX1660 Ti EVGA SC Ultra Gaming PCI-E 6144Mb (06G-P4-1667-KR)	1845	1845	6	12000	192	26880
336853	GeForce GTX1660 Ti Colorful PCI-E 6144Mb (GTX 1660 Ti Ultra 6G-V)	1500	1845	6	12002	192	27060
313814	GeForce GTX1660 Ti Palit Dual OC PCI-E 6144Mb (NE6166TS18J9)	1500	1815	6	12000	192	27060
313813	GeForce GTX1660 Ti Palit Dual PCI-E 6144Mb (NE6166T018J9)	1500	1770	6	12000	192	27060
342568	GeForce GTX1660 Super ASUS PCI-E 6144Mb (ROG-STRIX-GTX1660S-A6G-GAMING)	1530	1845	6	14002	192	27500
317735	GeForce GTX1660 Ti MSI PCI-E 6144Mb (GTX 1660 TI ARMOR 6G)	1800	1800	6	12000	192	27600
311535	GeForce GTX1660 Ti MSI PCI-E 6144Mb (GTX 1660 TI ARMOR 6G OC)	1860	1860	6	12000	192	27990
310592	GeForce RTX2060 MSI PCI-E 6144Mb (RTX 2060 VENTUS XS 6G OC)	1710	1710	6	14000	192	29710
308956	GeForce RTX2060 Palit StormX PCI-E 6144Mb (NE62060018J9)	1365	1680	6	14000	192	30360
331410	GeForce GTX1660 Ti ASUS PCI-E 6144Mb (TUF3-GTX1660TI-O6G-GAMING)	1500	1890	6	12002	192	30670
314056	GeForce RTX2060 Gigabyte PCI-E 6144Mb (GV-N2060OC-6GD V2)	1755	1755	6	14000	192	30800
309026	GeForce RTX2060 Gigabyte Mini ITX PCI-E 6144Mb (GV-N2060IXOC-6GD)	1695	1695	6	14000	192	30940
314053	GeForce RTX2060 Palit Dual PCI-E 6144Mb (NE62060018J9)	1365	1680	6	14000	192	31730
314054	GeForce RTX2060 Palit Dual OC PCI-E 6144Mb (NE62060S18J9)	1365	1725	6	14000	192	31770
