359131	32Gb DDR4 3600MHz Kingston HyperX Fury (HX436C18FB4K2/32) (2x16Gb KIT)	32	28800	17430
387544	32Gb DDR4 3200MHz ADATA XPG Spectrix D41 (AX4U320016G16A-DT41) (2x16Gb KIT)	32	25600	17490
311781	32Gb DDR4 3333MHz Kingston HyperX Predator (HX433C16PB3K2/32) (2x16 KIT)	32	26600	17560
379424	32Gb DDR4 3000MHz Kingston HyperX Fury RGB (HX430C16FB4AK2/32) (2x16Gb KIT)	32	24000	17680
360217	32Gb DDR4 3600MHz Patriot Viper Blackout (PVB432G360C8K) (2x16Gb KIT)	32	28800	17700
387212	32Gb DDR4 3200MHz ADATA XPG Spectrix D50 RGB (AX4U320016G16A-DT50) (2x16Gb KIT)	32	25600	17780
387214	32Gb DDR4 3200MHz ADATA XPG Spectrix D50 RGB (AX4U320016G16A-DW50) (2x16Gb KIT)	32	25600	17780
387209	32Gb DDR4 3200MHz ADATA XPG Spectrix D60G RGB (AX4U320016G16A-DT60) (2x16Gb KIT)	32	25600	17780
310443	32Gb DDR4 3000MHz Kingston HyperX Predator (HX430C15PB3AK2/32) (2x16 KIT)	32	24000	18010
197993	32Gb DDR4 2666MHz Corsair Vengeance LPX (CMK32GX4M2A2666C16) (2x16Gb KIT)	32	21300	18240
345148	32Gb DDR4 3733MHz Kingston HyperX Fury (HX437C19FB3K2/32) (2x16Gb KIT)	32	29800	18340
387217	32Gb DDR4 3600MHz ADATA XPG D41 RGB (AX4U360016G18A-DT41) (2x16Gb KIT)	32	28800	18400
309118	32Gb DDR4 3200MHz G.Skill Sniper X (F4-3200C16D-32GSXFB) (2x16Gb KIT)	32	25600	18520
309120	32Gb DDR4 3200MHz G.Skill Sniper X (F4-3200C16D-32GSXWB) (2x16Gb KIT)	32	25600	18580
387205	32Gb DDR4 3600MHz ADATA XPG Gammix D10 (AX4U360016G18A-DB10) (2x16Gb KIT)	32	28800	18610
345149	32Gb DDR4 3733MHz Kingston HyperX Fury (HX437C19FB3AK2/32) (2x16Gb KIT)	32	29800	18650
365831	32Gb DDR4 3600MHz Patriot Viper RGB (PVR432G360C8K) (2x16Gb KIT)	32	28800	18680
310410	32Gb DDR4 3200MHz Kingston HyperX Predator (HX432C16PB3AK2/32) (2x16 KIT)	32	25600	18770
379293	32Gb DDR4 3466MHz Kingston HyperX Fury RGB (HX434C17FB4AK2/32) (2x16Gb KIT)	32	27700	18910
379426	32Gb DDR4 3600MHz Kingston HyperX Fury RGB (HX436C18FB4AK2/32) (2x16Gb KIT)	32	28800	19060
310183	32Gb DDR4 3600MHz Kingston HyperX Predator (HX436C17PB3K2/32) (2x16 KIT)	32	28800	19070
361895	32Gb DDR4 3600MHz Kingston HyperX Predator RGB (HX436C17PB3AK2/32) (2x16Gb KIT)	32	28800	19150
309134	32Gb DDR4 3200MHz G.Skill Trident Z (F4-3200C16D-32GTZKW) (2x16Gb KIT)	32	25600	19190
377771	32Gb DDR4 3600MHz Patriot Viper Steel RGB (PVSR432G360C0K) (2x16Gb KIT)	32	24000	19230
387215	32Gb DDR4 3600MHz ADATA XPG Spectrix D50 RGB (AX4U360016G18A-DT50) (2x16Gb KIT)	32	28800	19800
387216	32Gb DDR4 3600MHz ADATA XPG Spectrix D50 RGB (AX4U360016G18A-DW50) (2x16Gb KIT)	32	28800	19800
387210	32Gb DDR4 3600MHz ADATA XPG Spectrix D60G RGB (AX4U360016G18A-DT60) (2x16Gb KIT)	32	28800	19800
351661	32Gb DDR4 3200MHz Crucial Ballistix RGB (BL2K16G32C16U4WL) (2x16Gb)	32	25600	19810
371717	32Gb DDR4 3600MHz Corsair Vengeance RGB (CMW32GX4M2Z3600C18) (2x16Gb KIT)	32	28800	20810
387762	32Gb DDR4 3200MHz Corsair Vengeance RGB Pro SL (CMH32GX4M2E3200C16) (2x16Gb KIT)	32	25600	21080
383182	32Gb DDR4 3200MHz Corsair Vengeance RGB Pro SL (CMH32GX4M2Z3200C16) (2x16Gb KIT)	32	25600	21160
309136	32Gb DDR4 3600MHz G.Skill Trident Z (F4-3600C17D-32GTZ) (2x16Gb KIT)	32	28800	21670
